created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-06-26 09:46:52 UTC,1,29.50,108,,,,,
2020-06-26 09:47:12 UTC,2,29.50,108,,,,,
2020-06-26 09:47:28 UTC,3,29.50,108,,,,,
2020-06-26 09:47:44 UTC,4,29.50,108,,,,,
2020-06-26 09:48:00 UTC,5,29.50,108,,,,,
2020-06-26 09:48:16 UTC,6,29.50,134,,,,,
2020-06-26 09:48:32 UTC,7,29.50,136,,,,,
2020-06-26 09:48:47 UTC,8,29.50,110,,,,,
2020-06-26 09:49:03 UTC,9,29.50,86,,,,,
2020-06-26 09:49:19 UTC,10,29.60,204,,,,,
2020-06-26 09:49:36 UTC,11,29.60,204,,,,,
2020-06-26 09:49:52 UTC,12,29.50,204,,,,,
2020-06-26 09:50:08 UTC,13,29.50,174,,,,,
2020-06-26 09:50:24 UTC,14,29.50,106,,,,,
2020-06-26 09:50:40 UTC,15,29.50,108,,,,,
2020-06-26 09:50:56 UTC,16,29.50,106,,,,,
2020-06-26 09:51:12 UTC,17,29.50,108,,,,,
2020-06-26 09:51:28 UTC,18,29.50,108,,,,,
2020-06-26 09:54:49 UTC,19,29.50,53,106,,,,
2020-06-26 09:55:05 UTC,20,29.50,54,108,,,,
2020-06-26 09:55:21 UTC,21,29.40,55,110,,,,
2020-06-26 09:55:37 UTC,22,29.40,43,86,,,,
2020-06-26 09:55:53 UTC,23,29.40,1,2,,,,
2020-06-26 09:56:09 UTC,24,29.40,59,118,,,,
2020-06-26 09:56:25 UTC,25,29.40,64,128,,,,
2020-06-26 09:56:40 UTC,26,29.40,66,132,,,,
2020-06-26 09:56:56 UTC,27,29.40,62,124,,,,
2020-06-26 09:57:11 UTC,28,29.40,54,108,,,,
2020-06-26 09:57:27 UTC,29,29.40,54,108,,,,
2020-06-26 09:57:43 UTC,30,29.40,73,146,,,,
2020-06-26 09:57:59 UTC,31,29.40,54,108,,,,
2020-06-26 09:58:15 UTC,32,29.40,54,108,,,,
